D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.0074,3.8,9800,2519,285.95,0.331,709
0.0074,3.8,9800,2003,166.38,0.397,1174
0.0074,3.8,9800,2519,200.83,0.302,1151
0.0074,3.8,9800,2558,200.83,0.305,1174
0.0074,3.8,9800,3004,220.14,0.269,1174
0.0074,3.8,9800,3475,245.52,0.267,1163
0.0074,3.8,9800,3940,261.85,0.265,1163
0.0074,3.8,9800,4496,281.97,0.287,1163
0.0074,3.8,9800,5529,293.89,0.266,1174
0.0074,3.8,9800,5878,303.79,0.284,1174
0.0074,3.8,9800,5943,304.82,0.287,1174
0.0104,3.8,9800,668,184.76,0.779,755
0.0104,3.8,9800,668,188.63,0.766,732
0.0104,3.8,9800,896,213.09,0.564,755
0.0104,3.8,9800,896,217.28,0.568,755
0.0104,3.8,9800,1112,234.46,0.444,767
0.0104,3.8,9800,1325,249.71,0.394,767
0.0104,3.8,9800,2002,286.88,0.312,755
0.0104,3.8,9800,2015,289.86,0.328,767
0.0104,3.8,9800,2240,168.46,0.223,1500
0.0104,3.8,9800,2240,241.5,0.285,1104
0.0104,3.8,9800,3336,214.19,0.122,1477
0.0051,2.6,11760,2489,195.07,0.271,1151
0.0051,2.6,11760,2992,106.86,0.178,1756
0.0051,2.6,11760,3414,135.08,0.136,1732
0.0051,2.6,11760,3917,160.39,0.12,1744
0.0077,2.6,11760,1021,257.24,0.5,732
0.0077,2.6,11760,1021,261.35,0.517,732
0.0077,2.6,11760,1253,275.6,0.42,721
0.0077,2.6,11760,1253,280.67,0.445,721
0.0077,2.6,11760,1498,198.01,0.324,1128
0.0077,2.6,11760,1498,288.69,0.38,744
0.0077,2.6,11760,1736,137.2,0.235,1511
0.0077,2.6,11760,1963,233.8,0.238,1104
0.0077,2.6,11760,1999,308.76,0.338,744
0.0077,2.6,11760,2017,98.04,0.175,1895
0.0077,2.6,11760,2017,162.48,0.19,1511
0.0077,2.6,11760,2261,311.77,0.305,732
0.0077,2.6,11760,2285,178.65,0.142,1511
0.0077,2.6,11760,2422,197.1,0.162,1488
0.0077,2.6,11760,2506,253.1,0.184,1116
0.0077,2.6,11760,2756,158.29,0.108,1907
0.0077,2.6,11760,2756,210.34,0.139,1488
0.0077,2.6,11760,2971,172.66,0.1,1907
0.0077,2.6,11760,2971,271.44,0.183,1116
0.0077,2.6,11760,3252,184.83,0.095,1930
0.0077,2.6,11760,3281,230.78,0.112,1500
0.0077,2.6,11760,3442,236.81,0.11,1500
0.0077,2.6,11760,5727,304.81,0.197,1535
0.0077,2.6,11760,5984,312.6,0.216,1500
0.0104,3.8,11760,609,167.58,0.786,709
0.0104,3.8,11760,805,200.04,0.567,709
0.0104,3.8,11760,1014,232.72,0.464,721
0.0104,3.8,11760,1214,137.2,0.331,1069
0.0104,3.8,11760,1397,64.73,0.215,1383
0.0104,3.8,11760,1501,172.66,0.26,1081
0.0104,3.8,11760,1515,269.44,0.326,721
0.0104,3.8,11760,1515,273.43,0.334,709
0.0104,3.8,11760,1940,294.81,0.304,709
0.0104,3.8,11760,1995,300.77,0.302,686
0.0104,3.8,11760,2384,313.59,0.314,709
0.0104,3.8,11760,2453,184.83,0.124,1395
0.00384,0.799,14710,4006,281.71,0.106,2280
0.00384,0.799,14710,4006,290.94,0.111,2080
0.00384,0.799,14710,4006,301.14,0.134,1939
0.00384,0.799,14710,4006,310.17,0.164,1839
0.00384,0.799,14710,4990,301.14,0.123,2339
0.00384,0.799,14710,4942,310.17,0.149,2189
0.00384,0.799,14710,4942,321.16,0.184,2000
0.00384,1.549,14710,3982,244.85,0.185,1800
0.00384,1.549,14710,3982,257.06,0.197,1700
0.00384,1.549,14710,3958,282.68,0.255,1520
0.00384,1.549,14710,4006,295.07,0.261,1400
0.00384,1.549,14710,4006,307.21,0.258,1230
0.00384,1.549,14710,4006,316.27,0.272,1130
0.0051,2.6,14710,2027,277.58,0.289,662
0.0051,2.6,14710,2258,295.07,0.302,662
0.0051,2.6,14710,2503,214.12,0.277,1163
0.0051,2.6,14710,3522,330.89,0.316,686
0.00607,0.792,14710,1604,212.11,0.026,2200
0.00607,0.792,14710,1604,280.73,0.155,1610
0.00607,0.792,14710,1604,301.14,0.178,1370
0.00607,0.792,14710,1604,321.16,0.213,1119
0.00607,0.792,14710,2208,280.73,0.095,1960
0.00607,0.792,14710,2199,330.89,0.21,1250
0.00607,0.792,14710,2707,214.12,-0.057,3200
0.00607,0.792,14710,2707,243.79,-0.002,2800
0.00607,0.792,14710,2698,311.21,0.118,1689
0.00607,0.792,14710,2717,330.89,0.181,1380
0.00607,0.792,14710,3187,268.36,0.013,2660
0.00607,0.792,14710,3187,308.26,0.081,1870
0.00607,0.792,14710,3187,331.75,0.156,1420
0.00607,0.792,14710,4013,260.17,-0.04,3261
0.00607,0.792,14710,4013,290.94,0.035,2700
0.00607,0.792,14710,4013,321.16,0.102,1930
0.00607,0.792,14710,4013,331.75,0.147,1739
0.00607,0.792,14710,4954,280.73,-0.007,3411
0.00607,0.792,14710,4963,302.22,0.051,2940
0.00607,0.792,14710,4992,331.75,0.138,2060
0.0077,2.6,14710,1032,255.19,0.471,744
0.0077,2.6,14710,1235,268.36,0.381,755
0.0077,2.6,14710,1271,173.23,0.34,1128
0.0077,2.6,14710,1295,318.25,0.399,558
0.0077,2.6,14710,1426,275.6,0.321,755
0.0077,2.6,14710,1474,206.97,0.266,1104
0.0077,2.6,14710,1748,144.77,0.175,1442
0.0077,2.6,14710,2017,293.95,0.223,779
0.0077,2.6,14710,2255,125.64,0.09,1918
0.0077,2.6,14710,2440,313.25,0.212,755
0.0077,2.6,14710,2458,158.13,0.086,1884
0.0077,2.6,14710,2470,265.31,0.17,1128
0.0077,2.6,14710,2750,228.46,0.117,1488
0.0077,2.6,14710,2750,178.31,0.09,1884
0.0077,2.6,14710,2798,327.06,0.25,767
0.0077,2.6,14710,3001,332.74,0.265,767
0.0077,2.6,14710,3001,244.85,0.132,1488
0.0077,2.6,14710,3156,301.14,0.201,1093
0.0077,2.6,14710,3252,254.14,0.132,1511
0.0077,2.6,14710,3472,265.31,0.148,1523
0.0077,2.6,14710,3520,312.23,0.219,1116
0.0077,2.6,14710,3532,226.49,0.111,1907
0.0077,2.6,14710,4636,303.12,0.186,1511
0.0077,2.6,14710,4749,306.15,0.195,1523
0.0077,2.6,14710,4999,280.73,0.147,1907
0.0077,2.6,14710,5137,316.27,0.214,1500
0.0077,2.6,14710,5357,321.16,0.229,1500
0.0077,2.6,14710,5495,323.22,0.232,1523
0.00807,0.778,14710,1005,260.17,0.112,1510
0.00807,0.778,14710,1011,290.94,0.166,1269
0.00807,0.778,14710,1000,311.21,0.214,1100
0.00807,0.782,14710,1011,158.13,-0.087,2170
0.00807,0.782,14710,1011,188.63,-0.043,1950
0.0078,0.776,14710,1593,198.86,-0.101,2580
0.00807,0.785,14710,1597,290.94,0.076,1620
0.00807,0.785,14710,1597,321.16,0.154,1260
0.00802,1.57,14710,1012,260.17,0.279,969
0.00802,1.57,14710,1001,303.12,0.33,750
0.00802,1.57,14710,1601,158.13,0.03,1989
0.00802,1.57,14710,1601,249.94,0.151,1370
0.00802,1.57,14710,1601,311.21,0.225,889
0.00802,1.57,14710,1601,330.89,0.276,750
0.00802,1.57,14710,2189,189.54,0.012,2239
0.00802,1.57,14710,2195,248.89,0.085,1700
0.00802,1.57,14710,2195,279.75,0.133,1430
0.00802,1.57,14710,2206,301.14,0.138,1169
0.00802,1.57,14710,2189,330.89,0.219,860
0.00802,1.57,14710,2700,187.49,-0.005,2720
0.00802,1.57,14710,2722,220.33,0.023,2350
0.01075,3,14710,1004,260.17,0.365,752
0.01075,3,14710,1001,321.16,0.441,534
0.0104,3.8,14710,534,308.26,0.696,337
0.0104,3.8,14710,671,299.13,0.543,383
0.0104,3.8,14710,700,318.25,0.533,337
0.0104,3.8,14710,995,285.78,0.374,488
0.0104,3.8,14710,1112,92.5,0.226,1081
0.0104,3.8,14710,1112,202.92,0.268,755
0.0104,3.8,14710,1338,238.65,0.238,744
0.0104,3.8,14710,1668,264.29,0.194,744
0.0104,3.8,14710,1675,193.64,0.168,1069
0.0104,3.8,14710,1701,270.39,0.199,709
0.0104,3.8,14710,2178,296,0.225,744
0.0104,3.8,14710,2218,248.04,0.153,1058
0.0104,3.8,14710,2237,171.15,0.101,1465
0.0104,3.8,14710,2270,98.48,0.049,1884
0.0104,3.8,14710,2679,315.27,0.228,767
0.0104,3.8,14710,2806,320.2,0.237,755
0.0104,3.8,14710,2832,324.15,0.247,744
0.0104,3.8,14710,3359,301.14,0.198,1058
0.0104,3.8,14710,3444,255.19,0.136,1488
0.01075,4,14710,2030,260.17,0.181,885
0.01075,4,14710,2030,280.73,0.204,783
0.01075,4,14710,2017,301.14,0.242,689
0.01075,4,14710,2017,320.2,0.283,598
0.01075,4,14710,2749,280.73,0.188,1031
0.01075,4,14710,2749,280.73,0.188,1031
0.0104,3.8,15690,605,137.68,0.71,709
0.0104,3.8,15690,828,175.32,0.398,709
0.0104,3.8,15690,998,207.9,0.338,721
0.0104,3.8,15690,1250,235.7,0.245,721
0.0104,3.8,15690,1511,261.33,0.209,721
0.0104,3.8,15690,1743,285.98,0.216,697
0.0104,3.8,15690,2862,334.15,0.274,721
0.0104,3.8,15690,2460,211.04,0.11,1395
0.0104,3.8,15690,2943,244.95,0.114,1372
0.0051,2.6,17650,1959,153.56,0.235,1232
0.0051,2.6,17650,1999,290.36,0.345,686
0.0051,2.6,17650,2027,301.67,0.361,686
0.0051,2.6,17650,2285,309.99,0.359,697
0.0051,2.6,17650,2475,322.14,0.39,674
0.0051,2.6,17650,2965,150.5,0.197,1744
0.0051,2.6,17650,2965,266.45,0.321,1174
0.0051,2.6,17650,3386,190.42,0.216,1756
0.0051,2.6,17650,3522,289.2,0.3,1174
0.0051,2.6,17650,3998,231.4,0.263,1767
0.0051,2.6,17650,4447,244.82,0.215,1767
0.0051,2.6,17650,4773,260.24,0.244,1791
0.0074,3.8,17650,1486,237.71,0.323,686
0.0074,3.8,17650,1744,262.32,0.3,697
0.0074,3.8,17650,2261,301.67,0.309,697
0.0074,3.8,17650,2397,206.76,0.19,1174
0.0074,3.8,17650,2500,309.99,0.302,709
0.0074,3.8,17650,2700,317.11,0.297,709
0.0074,3.8,17650,2739,230.53,0.202,1163
0.0074,3.8,17650,3191,263.36,0.227,1163
0.0074,3.8,17650,3217,265.42,0.218,1163
0.0074,3.8,17650,3469,341.87,0.34,686
0.0074,3.8,17650,3501,125.45,0.035,2046
0.0074,3.8,17650,3695,287.26,0.242,1174
0.0074,3.8,17650,3998,167.81,0.071,2035
0.0074,3.8,17650,3998,299.63,0.26,1174
0.0074,3.8,17650,4244,182.16,0.087,2046
0.0074,3.8,17650,4302,311.93,0.287,1163
0.0074,3.8,17650,4496,317.11,0.294,1174
0.0074,3.8,17650,4883,213.94,0.083,2046
0.0074,3.8,17650,5497,240.74,0.124,2046
0.0074,3.8,17650,5742,244.82,0.105,2058
0.0074,3.8,17650,6027,254.17,0.111,2058
0.0074,3.8,17650,6246,268.5,0.153,2011
0.0074,3.8,17650,6692,269.52,0.116,2046
0.00802,1.57,17650,979,285.12,0.241,830
0.00802,1.57,17650,996,255.22,0.171,950
0.00802,1.57,17650,1001,224.37,0.094,1060
0.00796,1.565,17650,1619,198.62,0.015,1800
0.00796,1.565,17650,1619,251,0.082,1430
0.00796,1.565,17650,1630,218.17,0.026,1639
0.00802,1.57,17650,1601,274.79,0.109,1230
0.00802,1.57,17650,1601,317.11,0.19,919
0.00802,1.57,17650,1601,346.54,0.285,669
0.00802,1.57,17650,2178,248.03,0.027,1850
0.00802,1.57,17650,2216,300.56,0.134,1410
0.00802,1.57,17650,2216,322.14,0.18,1180
0.00802,1.57,17650,2689,265.42,0.037,2050
0.00802,1.57,17650,2684,286.09,0.097,1850
0.00802,1.57,17650,2689,306.77,0.137,1600
0.00802,1.57,17650,2689,337.07,0.222,1210
0.00802,1.57,17650,2689,346.54,0.265,1069
0.00802,1.57,17650,3201,306.77,0.107,1810
0.00802,1.57,17650,3212,286.09,0.059,2100
0.00802,1.57,17650,3212,337.07,0.206,1389
0.00802,1.57,17650,3987,286.09,0.049,2580
0.00802,1.57,17650,4009,306.77,0.09,2220
0.00802,0.778,17650,2216,316.09,0.025,1850
0.00807,0.778,17650,2678,279.99,-0.098,2860
0.00807,0.778,17650,2694,301.67,-0.042,2480
0.00807,0.778,17650,3188,322.14,0.023,2380
0.0104,3.8,17650,785,155.67,0.344,709
0.0104,3.8,17650,828,157.77,0.302,744
0.0104,3.8,17650,910,162.68,0.254,744
0.0104,3.8,17650,923,165.94,0.21,744
0.0104,3.8,17650,1070,202.7,0.172,744
0.0104,3.8,17650,1253,241.81,0.18,697
0.0104,3.8,17650,1416,262.32,0.185,686
0.0104,3.8,17650,1662,198.62,0.118,1081
0.0104,3.8,17650,1688,122.13,0.045,1407
0.0104,3.8,17650,2123,321.15,0.289,732
0.0104,3.8,17650,2218,117.13,0.035,1872
0.0104,3.8,17650,2244,203.83,0.11,1430
0.0104,3.8,17650,2368,336.07,0.324,686
0.0104,3.8,17650,2888,248.88,0.132,1465
0.0104,3.8,17650,3303,319.14,0.238,1081
0.0104,3.8,17650,3333,222.16,0.06,1814
0.0104,3.8,17650,3414,291.32,0.183,1360
0.0104,3.8,17650,3470,328.24,0.256,1058
0.0104,3.8,19610,769,152.05,0.317,709
0.0104,3.8,19610,785,157.21,0.262,686
0.0104,3.8,19610,1014,223.97,0.24,686
0.0104,3.8,19610,1014,219.75,0.232,686
0.0104,3.8,19610,1089,217.75,0.239,755
0.0104,3.8,19610,1201,251.77,0.234,697
0.0104,3.8,19610,1498,296.46,0.284,697
0.0104,3.8,19610,1930,330.81,0.343,697
0.0104,3.8,19610,1979,335.89,0.362,686
0.0104,3.8,19610,1998,327.78,0.302,697
0.0104,3.8,19610,2218,191.98,0,1477
0.0104,3.8,19610,2218,268.29,0.153,1104
0.0104,3.8,19610,2283,342.82,0.35,709
0.0104,3.8,19610,2410,340.86,0.31,721
0.0104,3.8,19610,2509,295.51,0.187,1069
0.0104,3.8,19610,2718,251.77,0.046,1395
0.0104,3.8,19610,2760,311.24,0.218,1069
0.0104,3.8,19610,2943,319.46,0.206,1035
0.0104,3.8,19610,2999,269.32,0.068,1395
0.0104,3.8,19610,3248,328.75,0.238,1046
0.0104,3.8,19610,3277,286.01,0.117,1395
0.0104,3.8,19610,3303,249.64,0.036,1721
0.0104,3.8,19610,3496,291.28,0.115,1418
0.0108,3,19610,498,259.99,0.328,393
0.0108,3,19610,498,280.86,0.332,351
0.0108,3,19610,498,301.73,0.378,317
0.0108,3,19610,995,259.99,0.138,679
0.0108,3,19610,995,281.86,0.191,617
0.0108,3,19610,995,301.73,0.238,557
0.0108,3,19610,1001,323.68,0.288,483
0.0108,3,19610,1508,259.99,0.071,972
0.0108,3,19610,1508,280.86,0.126,887
0.0108,3,19610,1501,322.51,0.241,694
0.0108,3,19610,2002,259.99,0.03,1245
0.0108,3,19610,2002,280.86,0.088,1135
0.0108,3,19610,2002,301.73,0.127,995
0.0108,3,19610,2002,323.68,0.193,861
0.00795,0.61,6890,5221.5,146.91,-0.0986,8334.9
0.01044,1.753,13790,950.2,326.94,0.39,672.015
0.01044,1.753,13790,1357.4,329.06,0.307,760.355
0.01044,1.753,13790,1764.7,329.44,0.251,823.455
0.01044,1.753,13790,1764.7,318.5,0.223,930.725
0.01044,1.753,13790,1764.7,309.44,0.196,987.515
0.01044,1.753,13790,1764.7,301.11,0.183,1063.235
0.01046,1.803,13790,1357.4,301.39,0.245,946.5
0.01046,1.803,13790,1357.4,313.89,0.253,826.61
0.01046,1.803,13790,950.2,274.06,0.303,946.5
0.01046,1.803,13790,950.2,288.89,0.335,883.4
0.01046,1.803,13790,950.2,300.83,0.353,820.3
0.01046,1.803,13790,678.7,321.67,0.498,631
0.01046,1.803,13790,678.7,303.89,0.468,694.1
0.01046,1.803,13790,678.7,231.39,0.371,946.5
0.01046,1.803,13790,678.7,246.67,0.375,883.4
0.01054,1.778,13790,1764.7,322.61,0.205,817.145
0.01054,1.753,13790,1764.7,324.72,0.212,810.835
0.01054,1.778,13790,1764.7,307.22,0.178,965.43
0.01054,1.803,13790,1357.4,315.39,0.255,813.99
0.01054,1.803,13790,950.2,270.83,0.281,943.345
0.00795,0.61,6895,5085,135.97,-0.12,8359.7
0.00795,0.597,6895,1912,173.86,0.136,4637.3
0.00795,0.597,6895,1789.9,190.27,0.157,4101
0.00795,0.597,6895,1654.3,194.78,0.188,3943.2
0.01288,1.105,6895,1559.4,125.6,0.068,3785.5
0.01288,1.105,6895,1722.1,187.55,0.13,3312.3
0.01288,1.105,6895,1939.1,146.28,0.048,4037.9
0.01288,1.105,6895,1912,125.84,0.02,4227.2
0.0152,2.456,4992,1280,263.84,0.589,884
0.0152,2.456,5001,1150,241.16,0.514,1726
0.0152,2.456,5001,1150,241.16,0.515,1735
0.0152,2.456,5011,1130,191.2,0.461,1944
0.0152,2.456,5011,1130,185.64,0.455,1980
0.0152,2.456,5021,1130,217.57,0.488,1811
0.0152,2.456,5021,1130,217.93,0.48,1795
0.0152,2.456,5001,1560,263.96,0.603,470
0.0152,2.456,5001,1470,263.96,0.543,744
0.0152,2.456,4992,1420,263.84,0.521,1419
0.0152,2.456,4992,1470,263.84,0.506,1168
0.0152,2.456,4992,1510,263.84,0.529,1067
0.0152,2.456,4992,1550,242.4,0.396,1836
0.0152,2.456,4992,1490,242.4,0.416,1850
0.0152,2.456,5070,1560,232.45,0.392,1962
0.0152,2.456,5070,1560,234.54,0.383,1902
0.0152,2.456,5070,1510,198.46,0.354,2106
0.0152,2.456,4992,2110,263.84,0.561,476
0.0152,2.456,4992,2210,263.84,0.586,384
0.0152,2.456,4992,2210,263.84,0.495,816
0.0152,2.456,4992,2150,263.84,0.484,816
0.0152,2.456,4992,2150,263.84,0.483,816
0.0152,2.456,5011,2140,264.08,0.421,1211
0.0152,2.456,5001,2130,263.96,0.418,1238
0.0152,2.456,4992,2120,242.06,0.332,2148
0.0152,2.456,5001,2220,241.85,0.316,2168
0.0152,2.456,5001,2210,241.85,0.315,2158
0.0152,2.456,4992,2280,219.97,0.258,2257
0.0152,2.456,4992,2270,206.63,0.236,2335
0.0152,2.456,4992,2250,214.59,0.252,2284
0.0152,2.456,5070,2210,195.16,0.217,2352
0.0152,2.456,5011,3010,264.08,0.531,378.8
0.0152,2.456,5001,2900,263.96,0.415,849
0.0152,2.456,5001,2840,263.96,0.342,1501
0.0152,2.456,5011,2930,264.08,0.335,1702
0.0152,2.456,4992,3010,240.68,0.233,2302
0.0152,2.456,4992,3010,240.68,0.232,2297
0.0152,2.456,4992,2960,222.82,0.186,2329
0.0152,2.456,5041,2950,224.63,0.184,2279
0.0152,2.456,5011,3580,264.08,0.314,1938
0.0152,2.456,5011,3770,238.89,0.174,2297
0.0152,2.456,5011,3760,240.96,0.171,2370
0.0152,2.456,5011,3890,215.26,0.099,2381
0.0152,1.627,5001,2190,263.96,0.566,560
0.0152,1.627,4992,2160,263.84,0.472,906
0.0152,1.627,5001,2170,263.96,0.394,1563
0.0152,1.627,5001,2170,263.96,0.376,1610
0.0152,1.627,5011,2180,264.08,0.343,1924
0.0152,1.627,5090,2140,247.17,0.252,2503
0.0152,1.627,5050,2190,201.05,0.147,2776
0.0152,1.627,5050,2190,202.51,0.149,2768
0.0152,1.627,5060,2170,219.61,0.187,2652
0.0152,1.627,5060,2180,215.68,0.176,2670
0.0152,1.627,4992,2890,263.84,0.462,756
0.0152,1.627,5021,2790,264.2,0.333,1802
0.0152,1.627,4992,2870,263.84,0.315,1805
0.0152,1.627,5099,3820,228.34,0.077,2699
0.0152,1.627,5041,3830,194.29,0.021,3254
0.0152,1.627,5001,2160,263.96,0.543,509
0.0152,1.627,5001,2110,263.96,0.55,501
0.0152,1.627,5001,2150,263.96,0.474,819
0.0152,1.627,5021,2210,264.2,0.419,1144
0.0152,1.627,5021,2100,264.2,0.375,1740
0.00394,3.12,2687,844,55.34,0.926,648
0.00394,3.12,2687,852,56.06,0.915,648
0.00394,3.12,2246,896,58.99,0.859,647
0.00394,3.12,1853,956,61.51,0.801,651
0.00394,3.12,1677,986,61.95,0.773,652
0.00394,3.12,1451,1025,62.18,0.741,654
0.00394,3.12,1304,1081,63.34,0.696,655
0.00394,3.12,1255,1092,64.34,0.688,654
0.00394,3.12,1079,1182,68.88,0.633,655
0.00394,3.12,922,1271,64.82,0.574,657
